week_num,avg_temp,city,country,lat,lon
29,-0.93,Rio Gallegos,Argentina,-51.63,-69.22
29,17.8,Minsk,Belarus,53.9,27.57
29,19.63,Berlin,Germany,52.52,13.4
29,14.83,Birmingham,United Kingdom,52.49,-1.86
29,14.16,Dublin,Ireland,53.33,-6.25
29,17.33,Amsterdam,Netherlands,52.37,4.89
29,17.63,London,United Kingdom,51.52,-0.11
29,18.63,Irkutsk,Russia,52.27,104.33
29,20.26,Krakau,Poland,50.08,19.92
30,15.74,Birmingham,United Kingdom,52.49,-1.86
30,17.06,Amsterdam,Netherlands,52.37,4.89
30,18.91,Berlin,Germany,52.52,13.4
30,18.34,Krakau,Poland,50.08,19.92
30,16.59,Bremen,Germany,53.08,8.8
30,-1.27,Rio Gallegos,Argentina,-51.63,-69.22
30,15.29,Dublin,Ireland,53.33,-6.25
30,20.06,Irkutsk,Russia,52.27,104.33
30,20.3,Saskatoon,Canada,52.13,-106.67
30,17.31,London,United Kingdom,51.52,-0.11
30,17.69,Minsk,Belarus,53.9,27.57
31,16.1,Bremen,Germany,53.08,8.8
31,1.66,Rio Gallegos,Argentina,-51.63,-69.22
31,19.49,Irkutsk,Russia,52.27,104.33
31,23.01,Saskatoon,Canada,52.13,-106.67
31,14.61,Birmingham,United Kingdom,52.49,-1.86
31,16.04,Amsterdam,Netherlands,52.37,4.89
31,14.39,Dublin,Ireland,53.33,-6.25
31,18.09,Berlin,Germany,52.52,13.4
31,16.66,London,United Kingdom,51.52,-0.11
31,20.44,Minsk,Belarus,53.9,27.57
31,18.39,Krakau,Poland,50.08,19.92
32,18.23,Berlin,Germany,52.52,13.4
32,17.56,Saskatoon,Canada,52.13,-106.67
32,1.46,Rio Gallegos,Argentina,-51.63,-69.22
32,17.0,Birmingham,United Kingdom,52.49,-1.86
32,16.06,Dublin,Ireland,53.33,-6.25
32,16.79,Krakau,Poland,50.08,19.92
32,17.44,Amsterdam,Netherlands,52.37,4.89
32,18.19,Irkutsk,Russia,52.27,104.33
32,16.79,Bremen,Germany,53.08,8.8
32,18.26,London,United Kingdom,51.52,-0.11
32,17.39,Minsk,Belarus,53.9,27.57
33,14.97,Irkutsk,Russia,52.27,104.33
33,24.16,Berlin,Germany,52.52,13.4
33,1.44,Rio Gallegos,Argentina,-51.63,-69.22
33,19.84,Saskatoon,Canada,52.13,-106.67
33,17.26,Birmingham,United Kingdom,52.49,-1.86
33,16.09,Dublin,Ireland,53.33,-6.25
33,19.49,Amsterdam,Netherlands,52.37,4.89
33,22.89,Minsk,Belarus,53.9,27.57
33,23.59,Krakau,Poland,50.08,19.92
33,20.03,Bremen,Germany,53.08,8.8
33,19.11,London,United Kingdom,51.52,-0.11
34,18.04,Amsterdam,Netherlands,52.37,4.89
34,15.99,Birmingham,United Kingdom,52.49,-1.86
34,17.43,Saskatoon,Canada,52.13,-106.67
34,19.71,Minsk,Belarus,53.9,27.57
34,22.46,Krakau,Poland,50.08,19.92
34,16.09,Irkutsk,Russia,52.27,104.33
34,18.93,Bremen,Germany,53.08,8.8
34,22.57,Berlin,Germany,52.52,13.4
34,2.23,Rio Gallegos,Argentina,-51.63,-69.22
34,18.33,London,United Kingdom,51.52,-0.11
34,14.83,Dublin,Ireland,53.33,-6.25
